id          ,displayName ,health,damage,minGold,maxGold,speed,scale,unlockWave,spawnChance,minSpawn,maxConcurrent,knockbackResistance,enabled,minThreat
goblin      ,Goblin      ,10,1,2,5,4,1,1,100,        ,             ,2,TRUE,1
golden_goblin,Golden Goblin,25,0,50,100,6.5,0.9,1,5,,1,2,TRUE,0
goblin_brute,Goblin Brute,25,2.5,15,30,3,1.25,2,50,1,3,3,TRUE,1
bubbler     ,Bubbler     ,20,0,8,16,3.5,1,3,30,1,2,2,TRUE,1
big_ork     ,Big Ork     ,45,6,20,40,3.2,1.5,3,20,1,2,4,TRUE,1
assassin    ,Assassin    ,25,5,10,20,4.5,1,3,20,1,2,2,TRUE,3
bomber      ,Bomber      ,15,25,8,15,5,1,4,20,1,3,2,TRUE,1
ancient_warrior,Ancient Warrior,20,2,6,12,4,1,5,25,1,,2,FALSE,0
storm_witch ,Storm Witch ,30,3,10,20,3,1,3,25,1,2,2,TRUE,4
knight      ,Knight      ,60,4,30,60,3.5,1,7,15,1,1,4,FALSE,0
troll       ,Troll       ,100,40,50,100,2.5,4.8,4,15,1,1,50,TRUE,5
forest_guardian,Forest Guardian,80,3,10,20,3,1,10,20,1,2,2,TRUE,0
forest_witch,Forest Witch,120,2,15,30,3,1,9,15,1,2,2,FALSE,0
mutant_guy  ,Mutant Guy  ,30,3,12,25,3.5,1,9,18,1,3,2,FALSE,0
mystic      ,Mystic      ,160,4,12,24,2.8,1,13,15,1,2,2,TRUE,0
spirit_demon,Spirit Demon,14,2.5,8,16,4.5,1,10,20,1,3,50,FALSE,0
ancient_queen,Ancient Queen,200,3,40,80,3,1,16,12,1,1,6,TRUE,0
dark_elf    ,Dark Elf    ,150,3,15,30,4.2,1,19,15,1,3,2,TRUE,0
medusa      ,Medusa      ,250,3,20,40,2.8,1,22,12,1,1,4,TRUE,0
slayer      ,Slayer      ,200,8,30,60,2,2,25,10,1,1,999,TRUE,0
pig_butcher ,Pig Butcher ,300,6,40,80,3,1,28,10,1,1,6,TRUE,0
red_demon   ,Red Demon   ,400,15,60,120,3,1,15,8,1,1,50,FALSE,0
evil_god    ,Evil God    ,800,5,80,160,2,1,31,8,1,1,50,TRUE,0
barbarian_giant,Barbarian Giant,1200,10,70,140,3.2,1,34,8,1,1,50,TRUE,0
fort_golem  ,Fort Golem  ,1600,4,80,160,1.2,1,37,8,1,1,50,TRUE,0
mechanical_golem,Mechanical Golem,2000,12,50,100,2,1,40,8,1,1,50,TRUE,0
elemental_golem,Elemental Golem,5000,8,60,120,2,1,43,8,1,1,50,TRUE,0
powder_keg   ,Powder Keg   ,20,25,8,16,2.2,1,3,25,1,2,3,TRUE,2
bannerman    ,Bannerman    ,35,2,15,30,3.2,1,3,25,1,2,2,TRUE,2
bulwark      ,Bulwark      ,40,15,20,40,2.8,1.4,3,25,1,2,4,TRUE,3
captain_kombusta,Captain Kombusta,350,20,50,100,3.8,1.35,3,15,1,1,6,TRUE,0

