id,displayName,description,upgradeText,cost,growth,maxLevel,stat,kind,amount,prereqs,x,y,icon,root,isMeta,isCard,isActiveWeapon
sword_dmg,Brutal Swings,Increase axe damage,Swing even harder,15,1.4,10,SwordDamage,Flat,1|2|3|4|5|6|7|8|9|10,axe_unlock;butter;knock_1;plunder;ult_unlock;horse_unlock;dodge,22,16.5,axe_dmg,1,1,1,0
range_ext,Extended Blade,Increase axe range,Extend the blade further,21,1.45,4,SwordRange,Percent,0.25,butter;charge_unlock;solid,26.5,13.5,range_ext,,1,1,0
butter,Like Butter,Axe cuts through more enemies,Cut through one more enemy,30,1.38,8,MaxHitsPerSwing,Flat,1,medpack;range_ext;sword_dmg,25.5,13.5,butter,,1,1,0
move_1,Fleet Footed,Increase move speed,Increase move speed further,24,2,3,MoveSpeed,Percent,0.05,plunder;vamp,22,13,move_1,,1,1,0
crit_1,Keen Eye,Increase critical strike chance,,45,1,2,CritChance,Flat,0.05,critdmg;plunder;vamp,23,14,crit_1,,1,1,0
critdmg,Critical Damage,Increase critical strike damage,Increase critical strike damage further,60,2,3,CritMultiplier,Flat,0.5|2|4,crit_1,24,14,critdmg,,1,1,0
charge_unlock,Heavy Strike,Increase attack charge power levels,+1 max charge level,90,1.44,4,MaxChargeLevels;ChargeDamageBonus,Flat;Flat,1;0.5|0|0|0,range_ext,27.5,13.5,charge_unlock,,1,1,0
knock_1,Brute Force,Knockback enemies on hit,,60,1,1,KnockbackForce,Flat,8,knock_2;sword_dmg,19.5,14.5,knock_1,,1,1,0
knock_2,Stronger Blows,Increase knockback force,Increase knockback force further,27,1.57,4,KnockbackForce,Flat,4|4|6|8,knock_1,19.5,15.5,knock_2,,1,1,0
vamp,Vampiric Blade,Heal a percentage of the damage you deal,Heal more of the damage you deal,45,1.55,5,LifeStealPercent,Flat,0.01,crit_1;move_1,23,13,vamp,,1,1,0
plunder,Plunder,Increase gold gained from enemies,Increase gold gained further,36,1.85,5,GoldDropMultiplier,Percent,0.25,alldmg;crit_1;move_1;sword_dmg,22,14,plunder,,1,1,0
