id,displayName,description,upgradeText,cost,growth,maxLevel,stat,kind,amount,prereqs,x,y,icon,root,isMeta,isCard,isActiveWeapon
sword_dmg,Weighted Staff,Increase staff damage,Weight the staff further,15,1.4,10,SwordDamage,Flat,1|2|3|4|5|6|7|8|9|10,wand_unlock;butter;knock_1;plunder,22.5,9.5,Skill_BattleStaffHit_nb,1,1,1,0
range_ext,Extended Reach,Increase staff range,Extend your reach further,21,1.45,4,SwordRange,Percent,0.25,butter;charge_unlock,26,9.5,Warriorskill_41_nobg,,1,1,0
butter,Like Butter,Staff strikes through more enemies,Strike through one more enemy,30,1.38,8,MaxHitsPerSwing,Flat,1,medpack;range_ext;sword_dmg,25,9.5,Warriorskill_21_nobg,,1,1,0
move_1,Fleet Footed,Increase move speed,Increase move speed further,24,2,3,MoveSpeed,Percent,0.05,plunder;vamp,22.5,6,Aura_Speed_nb,,1,1,0
crit_1,Keen Eye,Increase critical strike chance,,45,1,2,CritChance,Flat,0.05,critdmg;plunder;vamp,23.5,7,Critical_strike_nobg,,1,1,0
critdmg,Critical Damage,Increase critical strike damage,Increase critical strike damage further,60,2,3,CritMultiplier,Flat,0.5|2|4,crit_1,24.5,7,Critical_strike3_nobg,,1,1,0
charge_unlock,Heavy Strike,Increase attack charge power levels,+1 max charge level,90,1.44,4,MaxChargeLevels;ChargeDamageBonus,Flat;Flat,1;0.5|0|0|0,range_ext,27,9.5,Holy_power_nobg,,1,1,0
knock_1,Brute Force,Knockback enemies on hit,,60,1,1,KnockbackForce,Flat,8,knock_2;sword_dmg,21,9.5,Push_nobg,,1,1,0
knock_2,Stronger Blows,Increase knockback force,Increase knockback force further,27,1.57,4,KnockbackForce,Flat,4|4|6|8,knock_1,21,10.5,Push_nobg,,1,1,0
vamp,Vampiric Strikes,Heal a percentage of the damage you deal,Heal more of the damage you deal,45,1.55,5,LifeStealPercent,Flat,0.01,crit_1;move_1,23.5,6,vampire_nobg,,1,1,0
plunder,Plunder,Increase gold gained from enemies,Increase gold gained further,36,1.85,5,GoldDropMultiplier,Percent,.25,alldmg;crit_1;move_1;sword_dmg,22.5,7,GoldCoin,,1,1,0
alldmg,Raw Power,Increase all damage,Increase all damage further,180,1.47,6,AllDamageMultiplier,Percent,.1,plunder,21.5,7,Warriorskill_44_nobg,,1,1,0
medpack,Field Medic,Increase Health Pack heal amount,Increase Health Pack heal amount further,60,1.46,6,HealthPackHealPercent,Flat,0.05,butter,25,8.5,skill_134_heal,,1,1,0
horse_unlock,Summon Mount,Summon a mount on demand to ride into battle. Press X to summon.,,150,1,1,SummonMountUnlocked,Flat,1,range_ext,26,11.5,Warriorskill_43_nobg,1,0,1,1
horse_health,Barded Steed,Increase your horse's max health,Increase your horse's max health further,60,1.4,5,HorseMaxHealthMultiplier,Percent,0.2,horse_unlock,25,12.5,Creatures_10_warhorse,,1,1,0
horse_speed,Thoroughbred,Increase your horse's speed,Increase your horse's speed further,60,1.4,5,HorseSpeedMultiplier,Percent,0.1,horse_unlock,27,12.5,Skill_HorseAcceleration_nb,,1,1,0
horse_heal,Stable Diet,Health Packs your horse runs over also heal the horse,,90,1,1,HorseHealFromPacks,Flat,1,horse_health,25,13.5,Carrot,,1,1,0
wand_unlock,Wand,Unlock the wand: hold aim to charge and fire magic missiles,,60,1,1,WandUnlocked,Flat,1,sword_dmg,22.5,12,Skill_WandAttack_nb,1,0,1,1
wand_dmg,Focused Missiles,Increase wand damage,Increase wand damage further,75,1.4,7,WandDamage,Flat,3,wand_unlock,23.5,12,Skill_WandAttackFire_nb,,1,1,0
wand_charge,Overcharge,More missile damage per charge level,+1 max charge level,90,1.44,3,WandMaxChargeLevels;WandChargeDamageBonus,Flat;Flat,1;0.25,wand_dmg,24.5,12,Mageskill_10_nobg,,1,1,0
ice_break,Shatter,Your strikes deal more damage to chilled enemies,Even more damage to chilled enemies,105,1.53,4,IceBreakerDamageBonus,Flat,0.5,wand_dmg,24.5,15,Mageskill_29_nobg,,1,1,0
ult_unlock,Rain of Fire,Rise into the air and rain massive explosive meteors down on your enemies. Press Q/Y to activate at 100% charge.,,300,1,1,UltimateUnlocked,Flat,1,wand_unlock,22.5,11,Skill_PillarOfFire,1,0,1,1
ult_dur,Enduring Rain,Increase ultimate duration,Increase ultimate duration further,150,1.5,5,UltimateDurationSeconds,Flat,1,ult_unlock,21.5,11,Aura_Speed_nb,,1,1,0
ult_dmg,Massive Meteors,Increase meteor damage during ultimate,Increase meteor damage further,200,1.6,4,UltimateMageMeteorDamageMultiplier,Flat,0.5,ult_unlock,22.5,10,Aura_MegaExplosion_nb,,1,1,0
ult_radius,Explosive Landing,Increase the explosion radius when landing,Increase the radius further,120,1.4,5,UltimateMageLandingExplosionRadius,Flat,1.5,ult_unlock,23.5,11,Mageskill_02_nobg,,1,1,0
dodge,Blink,Unlock a short teleport forward. Press Ctrl to activate.,,60,1,1,DodgeUnlocked,Flat,1,,10,25,Skill_282_unholydodge,1,0,1,1
dodge_cooldown,Quick Cast,Reduce Blink cooldown,Reduce Blink cooldown further,45,1.3,4,DodgeCooldown,Flat,-1,dodge,10,26,Aura_Speed_nb,,1,1,0
dodge_damage,Arcane Displacement,Blinking through enemies deals damage,Increase damage dealt by blinking through enemies,60,1.4,4,DodgeDamageMultiplier,Flat,0.25,dodge,9,25,Warriorskill_44_nobg,,1,1,0
dodge_chain,Consecutive Blinks,Killing an enemy with Blink reduces its cooldown by 1s,,90,1,1,DodgeChainCooldownReduction,Flat,1,dodge_damage,8,25,Skill_418_fastmove,,1,1,0
fort_arrow_slit,Arrow Slits,Fortress wall slits automatically fire arrows at approaching enemies,Faster firing & sharper arrows,40,1.4,4,FortArrowSlitsUnlocked;FortArrowSlitsDamage;FortArrowSlitsFireRate,Flat;Flat;Percent,1;8;0.15,fort_burning_oil;fort_spikes;sword_dmg,21.5,10.5,bow_shot1_nobg,1,0,1,1
fort_burning_oil,Boiling Oil,A cauldron of boiling pitch mounted above the gate dumps flaming oil on enemy swarms,Wider oil puddle & higher burn damage,60,1.5,3,FortBurningOilUnlocked;FortBurningOilDamage,Flat;Flat,1;15,fort_arrow_slit,21.5,11.5,Archerskill_05_firearrow,,0,1,1
fort_spikes,Spike Barricades,Ground spike barricades impale enemies dealing 5x damage to ragdolled foes,Sharper spikes & wider coverage,50,1.4,4,FortSpikesUnlocked;FortSpikesDamage,Flat;Flat,1;10,fort_arrow_slit,20.5,10.5,Warriorskill_18_block,1,0,1,1
imbue_fire,Flame Imbuement,Periodic Fire Imbuement: weapon ignites dealing AoE explosions,Ignite more often with larger explosions,80,1.5,5,PeriodicFireUnlocked;PeriodicFireDamagePercent;PeriodicFireExplosionRadius;PeriodicFireCooldown;PeriodicFireDuration,Flat;Flat;Flat;Flat;Flat,1;0.35|0.45|0.55|0.65|0.75;4|4.5|5|5.5|6;-2|-1|-1|-1|0;0|0|1|1|2,sword_dmg,21.5,13,Skill_StaffofFire_nb,,1,1,1
imbue_ice,Frost Imbuement,Periodic Ice Imbuement: weapon freezes dealing slowing chill & freeze chance,Freeze more often with deeper chill,80,1.5,5,PeriodicIceUnlocked;PeriodicIceSlowPercent;PeriodicIceFreezeChance;PeriodicIceCooldown;PeriodicIceDuration,Flat;Flat;Flat;Flat;Flat,1;0.5|0.6|0.7|0.8|0.9;0.25|0.3|0.35|0.4|0.5;-2|-1|-1|-1|0;0|0|1|1|2,sword_dmg,24.5,13,Mageskill_08_nobg,,1,1,1
imbue_lightning,Storm Imbuement,Periodic Lightning Imbuement: faster attacks & chain lightning on hit,Surge more often with more chain bounces,80,1.5,5,PeriodicLightningUnlocked;PeriodicLightningChargeSpeed;PeriodicLightningBounces;PeriodicLightningDamagePercent;PeriodicLightningCooldown,Flat;Flat;Flat;Flat;Flat,1;0.25|0.35|0.45|0.55|0.65;2|3|4|5|6;0.5|0.6|0.7|0.8|0.9;-2|-1|-1|-1|0,sword_dmg,22.5,14,Mageskill_42_nobg,,1,1,1
imbue_impulse,Impulse Imbuement,Periodic Impulse Imbuement: hits blast enemies with massive kinetic fling,Fling more often with higher kinetic force,80,1.5,5,PeriodicImpulseUnlocked;PeriodicImpulseKnockbackForce;PeriodicImpulseCooldown;PeriodicImpulseDuration,Flat;Flat;Flat;Flat,1;25|30|35|40|50;-2|-1|-1|-1|0;0|0|1|1|2,sword_dmg,20,9.5,Mageskill_40_arcane,,1,1,1
